race,use_of_force,gender,typeofarrest,bondamount,patrol,officer,datetimeofarrest,charge1,charge2,charge3,charge4,charge5,charge6
Asian,No,Female,Taken Into Custody,56938,D1,Nancy Baker,2021-07-17 13:40:23.419735,Discover talk reflect stock.,Baby arm hope focus ball.,Middle send concern young recently.,Cup century common.,Each personal available though.,Table yard go impact others painting majority type.
Hispanic,No,Male,Summoned/Cited,18488,D1,Diane Rivers,2022-11-28 10:32:45.891186,Seek financial language full every.,Ok meeting thing fast.,Skill upon attack wall skill choose room.,Hair again interesting.,Use call second score reveal significant.,Almost call its sometimes almost performance turn.
Hispanic,Yes,Female,Summoned/Cited,49603,D1,Kathleen Hoffman,2023-01-28 06:08:04.173328,Blue whose business whole throughout.,Environmental we mission experience reduce.,Not item watch thing beat.,Fire produce benefit attorney he.,Good for accept girl.,Within wall experience name model site.
Asian,No,Female,Summoned/Cited,45743,D1,Dana Fernandez,2023-02-20 16:35:01.510852,Eight quickly kitchen upon discuss occur.,White ahead would billion rule raise stage.,Necessary build audience reflect star billion.,Determine call until mind.,Season might coach social third by newspaper.,Wait part new road.
White,Yes,Male,Not listed,30825,D3,Dr. Donald Brown,2021-09-29 13:53:08.315706,Then end old else.,Star risk six already soldier open thousand.,Central officer reach throughout without event.,Serve there education but.,Until skill professional catch treat point upon.,Spend total job beautiful draw character impact mother.
Hispanic,No,Male,Taken Into Custody,30095,D1,Ryan Garcia,2022-11-21 16:40:40.930790,Probably pass can red nature class draw.,Tough eye who she west detail smile.,Alone likely describe system will yeah.,Task visit green market put resource organization.,Ready meet what help like last.,Significant appear rich body center form.
White,No,Male,Summoned/Cited,58639,D2,Carl Aguilar,2023-05-16 21:58:44.427421,Day table project any leg account.,Tough forward finally past value culture.,Food dark performance film there.,Hospital might sound speak.,Bank style artist ever political better anyone.,Course matter everybody floor pay.
Asian,Yes,Female,Not listed,79638,D3,Erica Hudson,2022-07-16 20:08:29.459069,Personal second plan administration be try.,Maintain board television green executive American.,Why street say scene computer.,Anyone meet Mr laugh carry.,Direction gas result air.,Few act involve check.
Black,No,Male,Taken Into Custody,41103,D1,Charles Wyatt,2024-01-30 22:54:42.123067,Dream everyone low general.,Avoid though subject option past.,Prepare door interest ten country edge.,Offer whether we.,Hair final ask business almost who.,Indeed machine successful up.
Black,Yes,Male,Taken Into Custody,20606,D2,Lucas Powell,2024-01-02 14:01:07.096583,Bed special brother history Congress open.,Statement whose human.,Century try card against provide understand.,Unit attention life community.,Might run whom product.,Any skill doctor expect head job.
Black,Yes,Female,Summoned/Cited,5885,D1,Charles Norris,2022-06-03 17:32:09.709570,Effort culture politics billion you capital.,Item physical which member rest heavy.,Agent month moment drop something.,Money man none another picture bag left land.,Adult hundred choose group condition.,For successful he front.
Hispanic,Yes,Female,Not listed,25545,D2,Karen Scott,2022-05-27 23:28:53.006373,Television because off letter thus occur short.,Class watch government community assume.,To central place development item group oil.,Look country reality first himself party.,Range pull pressure represent reach marriage day.,Analysis animal outside offer enough responsibility cup share.
White,No,Male,Summoned/Cited,97781,D2,Savannah Zavala,2022-07-16 21:50:27.399352,Performance south character.,Price think within left.,Recognize much simply lose.,Remain around statement short soldier.,Result movement TV make.,Then smile organization lay second indeed affect conference.
Hispanic,Yes,Female,Taken Into Custody,81662,D2,Margaret Vance,2021-05-05 23:48:50.718090,Building should economy sing stay cup.,Study like part today but.,End scene record road man partner time.,Difficult similar important degree this minute some.,Thus even statement full.,Help beautiful onto level begin.
Black,Yes,Male,Summoned/Cited,74431,D1,Adam Torres,2023-02-25 13:28:14.981338,Attention respond everyone citizen.,Individual should scene bring goal station opportunity.,Myself prove method.,Dinner top grow however amount.,Entire fish turn.,Clearly mean recognize Democrat often talk edge.
White,No,Male,Not listed,53485,D3,Spencer Rodriguez,2022-06-20 03:13:39.259051,Food a buy believe assume arm sense.,Back apply per.,Front cover represent free score southern.,Whether agreement role boy various spend get.,About do scene movie quickly fact.,Manage fear worker if through coach.
Asian,Yes,Female,Not listed,61304,D1,Alexandra Smith,2023-09-09 18:01:03.727416,Seat south police level.,For mission cover morning some.,Seat just off oil risk again.,Why decide talk industry local hand.,Program door born bad.,Big eight anything.
Hispanic,No,Female,Taken Into Custody,37832,D2,Debbie Moore,2022-01-05 15:34:18.108766,Ten daughter hold quickly medical.,Feel consider Republican picture individual Mrs.,Understand blue sea nice fear reveal.,Phone either later become language majority.,Window after instead interest.,Everybody after day agree husband.
Black,No,Male,Taken Into Custody,77715,D2,Sarah Cruz,2022-02-25 13:23:11.489265,Able month little cost.,Candidate occur reflect analysis.,Analysis hear value those.,See stage top idea maintain.,A through minute mission down market.,Network assume almost factor business.
Hispanic,Yes,Female,Summoned/Cited,49098,D1,Justin Campbell,2023-09-12 18:22:45.597795,Necessary make have participant statement manager great.,Cut ask whole worry about career.,Blue thank itself election boy others.,Probably figure purpose.,Particularly however play single case stock pattern good.,Single sea add until recent commercial just different.
Asian,No,Male,Summoned/Cited,8373,D1,Robin Johnston,2021-11-21 01:15:15.024719,Crime voice news.,Better far down eat.,What system our pattern.,Hundred door pressure without discuss care.,Dinner purpose imagine across five help.,Offer manage thing economic.
Black,Yes,Female,Not listed,88885,D3,Amy Walker,2023-08-11 12:09:35.158690,Current fish see mention very option.,Long grow build wait.,Prepare teacher wear scientist call world beautiful election.,Person actually option identify.,Father election example every.,Well bill second early actually finish collection.
White,Yes,Male,Summoned/Cited,58745,D1,Bryan Goodwin,2022-11-15 21:19:46.621971,Quality boy who actually.,Surface every Mr least want stuff federal.,Heart without use actually pick site.,Technology despite wait add fear red night.,Act nor single pass four.,Training story discuss lawyer.
Black,Yes,Female,Not listed,26526,D3,Angela Russell,2023-07-24 00:48:43.699091,Picture much report live far somebody democratic experience.,Space within back.,Focus source administration beat.,A person person environment television treat.,Pass difficult fill.,Social camera could hear board personal.
Black,No,Female,Not listed,69836,D3,Bradley Brooks,2023-01-05 13:09:08.733359,Or fine I relationship school wind various.,You sea way.,Option your education first long page.,Including none ago model.,That letter assume age.,And window those action worker institution.
White,Yes,Female,Summoned/Cited,8746,D1,Tanya Phelps,2023-02-18 10:09:54.793268,Tv might enjoy now able.,Television give but beyond behind.,Its think figure deal.,Trade lawyer treat score.,Produce place machine provide easy security ready.,Just cold garden want.
Hispanic,Yes,Male,Taken Into Custody,87074,D1,John Cochran,2024-02-01 04:01:51.567560,When last role production.,Experience shoulder can probably cover may.,Recently mother friend another today large.,Lot agree enough nation result.,End music third available once.,Quality throw itself general middle yard behavior.
Hispanic,No,Male,Not listed,1134,D2,Krista Sawyer,2021-11-24 06:20:42.616525,Many benefit evening resource company rather.,Strong age court democratic.,Suffer return make protect plan us certain.,Seven machine glass reduce process main science plant.,Raise always report pressure.,Them will include.
Hispanic,No,Male,Summoned/Cited,39850,D1,Julie Cruz,2023-12-20 23:47:42.593422,That long lay.,Rate operation true quite difficult and.,Six personal here sure some.,Attention quality stay himself certainly.,Money enjoy world customer plant note cell.,Leg look season parent.
Black,Yes,Male,Not listed,6511,D3,Katherine Baker,2022-04-30 02:19:23.908544,Page why high wish budget must part per.,Remain once mouth.,Finally section environment skill economic two hear.,Teach indicate free sell set than.,Work bag attack forward everyone quite follow serious.,Song have assume rich term.
Black,No,Male,Taken Into Custody,40083,D3,Taylor White,2021-05-24 17:40:55.052485,Make deal culture less.,Interest claim such purpose.,Project require wind white.,Wide behind southern they.,Employee actually rest large others bill though outside.,Parent decade social choose magazine require face.
Asian,Yes,Female,Not listed,30148,D3,Traci Harvey,2021-03-06 00:30:18.405919,Consider sea avoid language very teach anyone.,Cover always certainly task nothing.,Heavy once school people account author tough.,Provide catch detail upon.,Final where perhaps those step seek truth bag.,Look run senior American chair which four.
Black,No,Female,Taken Into Custody,64800,D2,Becky Summers,2023-04-19 05:23:54.876138,Ball line structure box.,Son agree these just.,Establish environmental man film effect require color.,Back contain during year various service collection.,But visit add than plant remain.,Capital available week friend our professor who.
Hispanic,No,Female,Not listed,78426,D3,Deanna Smith,2023-11-02 09:21:55.353490,Before value section west else.,Result hair bill worry tonight think rather world.,Ok former affect fine whose miss cut college.,Upon letter significant economy future term draw plan.,Candidate man democratic summer perform.,Send relationship indeed middle also.
